,crossword_date,answers,clues,crossword_year,day_of_week
252416,1977-04-10,LEGGO," 68 Across, slangily",1977,Sunday
284758,1978-04-21,SCHMO," Sap, in slanguage",1978,Friday
286369,1978-05-09,OKAY," Concurrence, colloquially",1978,Tuesday
281906,1978-03-19,LIBBER," Feminist, colloquially",1978,Sunday
316788,1979-07-26,BLUES," Navy uniform, informally",1979,Thursday
324678,1979-10-26,REUP, Enlist again (G.I. slang),1979,Friday
318492,1979-08-14,HEEL," Cad, colloquially",1979,Tuesday
320085,1979-09-02,ERK," R.A.F. underling, informally",1979,Sunday
303904,1979-02-25,GAL," Colleen, colloquially",1979,Sunday
303059,1979-02-16,SWAP," Exchange, informally",1979,Friday
308584,1979-04-21,ZAP," Strafe, in slanguage",1979,Saturday
328012,1979-12-03,TAKESTHELEADOUT," Speeds up, in slanguage",1979,Monday
350426,1980-08-20,EROO, Sock's slangy suffix,1980,Wednesday
349769,1980-08-12,BONER," Malapropism, to a slangster",1980,Tuesday
348274,1980-07-26,RUG," Toupee, in slanguage",1980,Saturday
360504,1980-12-15,AMMO," Munitions, informally",1980,Monday
355887,1980-10-23,RAP, Chat informally,1980,Thursday
357447,1980-11-10,TATA," Farewell, informally",1980,Monday
337700,1980-03-24,DAS," Lawmen, informally",1980,Monday
336525,1980-03-11,ZEBRA," Gridiron official, informally",1980,Tuesday
330646,1980-01-03,CURTAINS," The end, in slanguage",1980,Thursday
331188,1980-01-09,NARY," Not one, colloquially",1980,Wednesday
343679,1980-06-02,CUKES," Gherkins, colloquially",1980,Monday
381655,1981-08-21,RAP," The least bit, informally",1981,Friday
383521,1981-09-12,OKAY, Approve informally,1981,Saturday
383827,1981-09-15,PIGSWHISTLE, Part of a slangy retort,1981,Tuesday
381263,1981-08-16,MOPUP," Finish, informally",1981,Sunday
379958,1981-08-01,WEED," Tobacco, informally",1981,Saturday
390190,1981-11-28,SPEX," Eyeglasses, in slanguage",1981,Saturday
389533,1981-11-21,SHARP," Stylish, informally",1981,Saturday
365783,1981-02-16,ESP," Sixth sense, informally",1981,Monday
366570,1981-02-25,DOPED," ___ out (solved, in slanguage)",1981,Wednesday
374360,1981-05-28,JAVA," Coffee, colloquially",1981,Thursday
376755,1981-06-24,TWOBIT," Cheap, in slanguage",1981,Wednesday
371280,1981-04-21,JAKE," Satisfactory, in slanguage",1981,Tuesday
372418,1981-05-05,BATH," In slanguage, a heavy financial loss",1981,Tuesday
423210,1982-12-19,PENNSY," A railroad, informally",1982,Sunday
417625,1982-10-15,SUDS," Beer, colloquially",1982,Friday
400160,1982-03-25,WADS," Bankrolls, informally",1982,Thursday
399802,1982-03-21,HADNT," Lacked, informally",1982,Sunday
393779,1982-01-09,STRIPERS," Naval officers, colloquially",1982,Saturday
396032,1982-02-04,LUBES," Garage jobs, informally",1982,Thursday
404503,1982-05-15,KNUCKLESANDWICH," Punch, in slanguage",1982,Saturday
431139,1983-03-21,IMSHI," ""Go away!"": British slang",1983,Monday
431901,1983-03-30,DRAG," Bore, in slanguage",1983,Wednesday
435799,1983-05-15,SUDS," Beer, in slanguage",1983,Sunday
430272,1983-03-12,RUG," Toupee, colloquially",1983,Saturday
