,crossword_date,answers,clues,crossword_year
0,2022-01-01,WINNER,First person?,2022
1,2022-01-01,PLANBS,Backups,2022
2,2022-01-01,WHOOPI,First name in daytime talk,2022
3,2022-01-01,MAOSUIT,Red Guard's attire,2022
4,2022-01-01,IAMBIC,"Like ""To be or not to be""",2022
5,2022-01-01,DOUGHBOY,Baking aisle mascot,2022
6,2022-01-01,TOUCHSENSOR,Smart device feature,2022
7,2022-01-01,CERTS,Ice Breakers alternative,2022
8,2022-01-01,WAKE,Aftermath,2022
9,2022-01-01,Abbr.,Engagement calendar info,2022
10,2022-01-01,LIES,"""That's so not the case!""",2022
11,2022-01-01,SITE,Fodor's listing,2022
12,2022-01-01,SMORE,"Assembly at a camporee, perhaps",2022
13,2022-01-01,ATF,Anti-trafficking org.,2022
14,2022-01-01,CATHY,"Comic strip with the 1998 collection ""I Am Woman, Hear Me Snore""",2022
15,2022-01-01,ASTIN,"Skylar of the ""Pitch Perfect"" films",2022
16,2022-01-01,WHO,Start of many a Google search,2022
17,2022-01-01,ZXCVBNM,Line just before a comma,2022
18,2022-01-01,ADD,"""Anything to ___?""",2022
19,2022-01-01,SERTA,Brand with an iComfort line,2022
20,2022-01-01,HARES,Leporine creatures,2022
21,2022-01-01,TEA,Bags one might have when tired?,2022
22,2022-01-01,ARMOR,Tanks and such,2022
23,2022-01-01,BLEW,Botched,2022
24,2022-01-01,COPY,"""Got it""",2022
25,2022-01-01,TEES,Intersections requiring a turn,2022
26,2022-01-01,LALA,Singing duet?,2022
27,2022-01-01,CASAS,"Bartolomé de las ___, social reformer during Spain's colonial era",2022
28,2022-01-01,PEACEDOLLAR,Coin featuring Lady Liberty and a bald eagle,2022
29,2022-01-01,CLEARSKY,Part of a forecast without clouds,2022
30,2022-01-01,PILLAR,Colonnade sight,2022
31,2022-01-01,SEARATS,"Pirates, in old slang",2022
32,2022-01-01,UNMADE,"Rumpled, say",2022
33,2022-01-01,IGUESS,"""Yeah, sure""",2022
34,2022-01-01,SEEDED,Like some fruits and tennis players,2022
35,2022-01-01,WWI,"Setting of the Robert Graves memoir ""Good-bye to All That,"" in brief",2022
36,2022-01-01,IHATEITHERE,Mopey teen's lament,2022
37,2022-01-01,NOMOREFORME,"""Can't eat another bite""",2022
38,2022-01-01,NOBUTS,"""I don't want to hear any excuses!""",2022
39,2022-01-01,EPICS,Some major productions,2022
40,2022-01-01,RICH,Oil-___,2022
41,2022-01-01,PAUSE,"Press ""K"" while on YouTube",2022
42,2022-01-01,LOGO,"Jordan is found on one, notably",2022
43,2022-01-01,ASHRAMS,Yoga retreat locales,2022
44,2022-01-01,NUB,Central point,2022
45,2022-01-01,BIO,Lead-in to diversity,2022
46,2022-01-01,STY,Home for a farrow,2022
47,2022-01-01,MONKEYBREAD,Pastry that gets pulled apart,2022
48,2022-01-01,DEATHVALLEY,"Where scenes on Tatooine were filmed for ""Star Wars""",2022
49,2022-01-01,SWITCHBACKS,They're full of twists and turns,2022
50,2022-01-01,CLAWSAT,Feverishly tries to open,2022
51,2022-01-01,POTATOSALAD,Cookout dish,2022
52,2022-01-01,PRIDEPARADE,Big outdoor June event,2022
53,2022-01-01,TENDAYS,Length of a president's veto window,2022
54,2022-01-01,SAX,Adolphe who invented a musical instrument,2022
55,2022-01-01,SAMS,"Costco rival, familiarly",2022
56,2022-01-01,CZAR,Titan,2022
57,2022-01-01,NEW,"Still in the box, say",2022
58,2022-01-01,TOSPARE,Beyond what's needed,2022
59,2022-01-01,CALLME,Phone line?,2022
60,2022-01-01,LASTS,Goes on,2022
61,2022-01-01,CLINE,"Singer with the 1962 album ""Sentimentally Yours""",2022
62,2022-01-01,ERAS,"Aces have low ones, for short",2022
63,2022-01-01,OPUS,Major production,2022
64,2022-01-01,"Vegas""","""___",2022
65,2022-01-01,LEG,One of a piano trio,2022
66,2022-01-01,Fr.),___ oxygénée (hydrogen peroxide,2022
67,2022-01-01,RED,Like diamonds,2022
68,2022-01-02,PAPER,Game option represented by a flat palm,2022
69,2022-01-02,SOLANGE,"Singer with the 2016 #1 album ""A Seat at the Table""",2022
70,2022-01-02,ELSA,Disney queen,2022
71,2022-01-02,AGREE,Not clash,2022
72,2022-01-02,FOREWORD,Front lines?,2022
73,2022-01-02,GOTAT,Said without saying,2022
74,2022-01-02,REINDEERCALVES,CERISE + LAVENDER = certain baby animals,2022
75,2022-01-02,OSIRIS,God sometimes depicted with green skin,2022
76,2022-01-02,Abbr.,"State in which ""Parks & Recreation"" is set",2022
77,2022-01-02,TUNE,"Pull some strings, maybe?",2022
78,2022-01-02,ICES,Clinches,2022
79,2022-01-02,ERODE,Chip away at,2022
80,2022-01-02,STEWARD,Employee on an airline or cruise ship,2022
81,2022-01-02,DOGCOLLAR,CORAL + GOLD = pet store purchase,2022
82,2022-01-02,NIX,Veto,2022
83,2022-01-02,POGO,___ stick,2022
84,2022-01-02,FAVRE,Quarterback who holds the N.F.L. record for most consecutive games started (297),2022
85,2022-01-02,ITSABET,"""You're on!""",2022
86,2022-01-02,CARS,Train set,2022
87,2022-01-02,ALTER,"Tailor, maybe",2022
88,2022-01-02,SADE,"One-named singer with the album ""Lovers Rock""",2022
89,2022-01-02,NUDE,Lipstick choice,2022
90,2022-01-02,GERMANBEER,AMBER + GREEN = imported brew,2022
